設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A64] 横紋筋組織が存在するのはどれか。,胃,気管,虹彩,子宮,心臓,5,,放射線物理学,第72回(2020),普通
[A65] 放射線の生物学的影響の説明として正しいのはどれか。,線量率は生物学的効果に影響しない。,間期死は誤修復によるものが最も多い。,分裂死はRNAの損傷によるものが最も多い。,高LET放射線では間接作用が直接作用よりも多い。,フリーラジカルによるDNA損傷は酸素存在下で増強する。,5,,医用工学,第72回(2020),普通
[A66] 胎児被ばくによって精神発達遅延が最も生じやすい受精からの時期はどれか。,〜2週,2〜週,〜15週,15〜25週,25週以降,3,,医用工学,第72回(2020),普通
[A67] 放射線治療において、水晶体のTD5/515年間で5％以下の障害が生じる線量3に最も近い線量［Gy］はどれか。,10,30,45,60,80,1,,医用工学,第72回(2020),普通
[A68] 放射線感受性の最も低い組織はどれか。,胸腺,腎臓,精巣,脊髄,皮膚,4,,放射線計測学,第72回(2020),普通
[A69] 増殖が速い腫瘍の制御と正常臓器の障害緩和を目的とした分割照射方法はどれか。,寡分割照射,多分割照射,加速分割照射,通常分割照射,加速多分割照射,5,,放射線計測学,第72回(2020),普通
[A70] 電荷をもつ電離放射線はどれか。2つ選べ。,光子,電子,中性子,陽電子,ニュートリノ,"2,4",,放射線計測学,第72回(2020),普通
[A71] ある放射性同位元素の放射能を測定したところ1時間後に測定開始時の1/10となった。この放射性同位元素の半減期［分］はどれか。ただし、log102＝0.30とする。,6,10,15,18,26,4,,放射線計測学,第72回(2020),普通
[A72] 診断領域X線のエネルギースペクトルを図に示す。正しいのはどれか。,Aの管電圧は60 kVである。,AとBのターゲットは異なる。,AとBの出力線量は同じである。,Aにフィルタを付加するとBの形状に近づく。,AとBにL殻への遷移による特性X線が認められる。,4,,放射線計測学,第72回(2020),普通
[A73] 重荷電粒子の質量衝突阻止能で正しいのはどれか。,物質の質量に比例する。,物質の原子番号に反比例する。,入射粒子の質量に反比例する。,入射粒子の電荷数に比例する。,入射粒子のエネルギーに反比例する。,5,,診療画像機器学,第72回(2020),普通
[A74] 1MHzの超音波を入射したとき、超音波の減衰が最も大きいのはどれか。,肺,肝臓,筋肉,血液,脂肪,1,,診療画像機器学,第72回(2020),普通
[A75] 1種類のキャリアのみを有する半導体の導電率が102 S･m−1、移動度が0.36 m2･V−1･s−1であるとき、キャリア濃度［m−3］に最も近いのはどれか。ただし、キャリアの電荷量を1.6 × 10−19 Cとする。,4.4 × 1016,5.8 × 1019,1.7 × 1021,2.3 × 1021,6.4 × 1023,3,,診療画像機器学,第72回(2020),普通
[A76] 図の回路にL＝0.5 HのコイルとR＝100 Ωの抵抗が直列につながれ、電圧の実効値Ve＝100 V、周波数f＝50 Hzの正弦波交流電源がつながれているとき、抵抗の両端の電圧［V］に最も近いのはどれか。,35,45,55,65,75,3,,診療画像機器学,第72回(2020),普通
[A77] 図のように極板面積Aの平行板キャパシタ1コンデンサ3の極板距離のうちd1が比誘電率ε1、残りのd2が比誘電率ε2の誘電体で満たされている。このキャパシタの電気容量1静電容量3Cを表す式はどれか。ただし、電気定数1真空の誘電率3はε0とする。ε1 ε2 ε0 A,d1＋d2 d1＋d2,ε1 ε2 ε0 A ε0 A,ε 1/d1＋ε 2/d2 ε0 A,d1/ε 1＋d2/ε 2 ε 1/d1＋ε 2/d2,ε0 A,4,,診療画像機器学,第72回(2020),普通
[A78] 気体検出器の印加電圧と出力電流パルスの関係において、ガス増幅が起こり始める領域はどれか。,境 — 界,再結合,電離箱,比例計数管,GM計数管,4,,診療画像機器学,第72回(2020),普通
[A79] 確率分布が平均値μ、標準偏差σのGauss〈ガウス〉分布に従う放射線計測において、測定値がμ案σに入る確率に最も近いのはどれか。,34％,50％,68％,75％,96％,3,,診療画像機器学,第72回(2020),普通
[A80] 診断用X線の半価層計測で正しいのはどれか。,吸収体として鉛を用いる。,小型の空気電離箱を用いる。,吸収体と検出器を密着させる。,純度50％以上の吸収体を用いる。,照射野を吸収体の大きさに合わせる。,2,,診療画像機器学,第72回(2020),普通
[A81] 物理量と単位の組合せで正しいのはどれか。2つ選べ。,カーマ — C･kg−1,シーマ — J･kg−1,吸収線量 — C･kg−1,照射線量 — J･kg−1,質量阻止能 — J･m2･kg−1,"2,5",,診療画像機器学,第72回(2020),普通
[A82] 定位放射線治療の線量計測で正しいのはどれか。2つ選べ。,側方電子平衡は無視できる。,電離空洞は小さい方がよい。,出力係数の測定が必要である。,フィルムは検出器として用いられない。,電離箱線量計のステム効果は無視できる。,"2,3",,診療画像機器学,第72回(2020),普通
[A83] X線が複数の線減弱係数の異なる組織を透過することによって生じるX線写真の陰影変化を説明するのはどれか。,重積効果,接線効果,ヒール効果,部分容積効果,Groedel〈グレーデル〉効果,1,,X線撮影技術学,第72回(2020),普通
[A84] デジタルトモシンセシスについて正しいのはどれか。,CR受像器を用いる。,多方向から撮影する。,受像器に垂直な断層像を得る。,断層面の数と同数の撮影を繰り返す。,スライス厚分解能は投影角度には依存しない。,2,,X線撮影技術学,第72回(2020),普通
[A85] 順行性と逆行性の両方の造影検査があるのはどれか。,食道,膵管,卵管,耳下腺,総胆管,5,,X線撮影技術学,第72回(2020),普通
[A86] 頭部X線写真を別に示す。この撮影で観察目的となるのはどれか。【別冊No.9 図】,下顎管,顎関節,視束管,内耳道,蝶形骨洞,2,,X線撮影技術学,第72回(2020),普通
[A87] 胸部X線側面写真を別に示す。後縦隔の領域に含まれるのはどれか。【別冊No.10 図】,ア,イ,ウ,エ,オ,"3,4",,X線撮影技術学,第72回(2020),普通
[A88] 食道造影写真1別冊No. 11Ａ3と胸腹部造影CT1別冊No. 11Ｂ3を別に示す。No. 11Ａの直線に一致する水平横断像はNo. 11Ｂのうちどれか。,ア,イ,ウ,エ,オ,3,,X線撮影技術学,第72回(2020),普通
[A89] 診療放射線技師の対応として適切なのはどれか。,車椅子の患者を立位で撮影するため、介助者を待って撮影した。,異性の患者と2人きりにならぬよう撮影室ドアを開放して撮影した。,胸部X線撮影後に異常所見を発見したため、自己判断で腹部X線撮影を追加した。,検査オーダーは右膝X線撮影であったが、患者の依頼で両膝X線撮影を行った。,入院患者のリストバンドが汚れていたので口頭での氏名確認のみで撮影を行った。,1,,X線撮影技術学,第72回(2020),普通
[A90] 上部消化管造影の圧迫撮影で、観察が難しい部位はどれか。,胃角,噴門部,幽門部,胃体下部,十二指腸球部,2,,X線撮影技術学,第72回(2020),普通
[A91] 骨盤の造影写真を別に示す。正しいのはどれか。【別冊No.12 図】,尿管が描出されている。,造影時間後の撮影である。,不妊症の検査として行われる。,アレルギー歴の確認は不要である。,経尿道的にカテーテルが挿入されている。,3,,X線撮影技術学,第72回(2020),普通
[A92] 乳房X線撮影で正しいのはどれか。,標準的な圧迫圧は250 N程度である。,大きな乳房では、より高格子比のグリッドを用いる。,X線管のターゲットとしてタングステンは使用されない。,マンモトームの病変の座標設定にトモシンセシスが必要である。,MLO方向撮影はCC方向撮影に比べブラインドエリアが少ない。,5,,X線撮影技術学,第72回(2020),普通
[A93] アパーチャ幅dのデジタル検出器の幅方向のMTF1u3を表す式はどれか。ただし、検出器応答は完全な矩形関数で与えられるものとし、幅方向の空間周波数をu; u ≧とする。,1 2πud sin πud 2 1,— sinπud πud 2,— sinπud πud,d πu sin πu d 1,— sinπud πu,2,,画像工学,第72回(2020),普通
[A94] X線CT再構成画像のWiener〈ウィナー〉スペクトルの特徴で正しいのはどれか。,直流成分は原理的にになる。,再構成アルゴリズムの影響を受けない。,曲線下の面積は検出器入射線量に比例する。,空間周波数の増大とともに単調に減少する。,測定は投影データを二次元Fourier〈フーリエ〉変換する。,1,,画像工学,第72回(2020),普通
[A95] デジタル撮影システムAとBのデジタル特性曲線を図に示す。システムの特性として正しいのはどれか。,MTFはAの方が高い。,X線コントラストはBの方が高い。,ダイナミックレンジはAの方が広い。,比露光量の対数が2.0の時のグラディエントはBの方が高い。,同じ被検体を撮影した場合の画像コントラストはAの方が高い。,5,,画像工学,第72回(2020),普通
[A96] 線量を直接読み取れるのはどれか。,蛍光ガラス線量計,電子式ポケット線量計,熱ルミネセンス線量計,フィルムバッジ線量計,光刺激ルミネセンス線量計18,2,,放射線安全管理学,第72回(2020),普通
"[A97] F-FDGに対し鉛防護壁を設置する場合、放射線量を1,000分の1にする防護壁の厚さ［cm］に最も近いのはどれか。ただし、ln 10＝2.3、線減弱係数は1.7 cm−1とし、散乱線は考慮しないものとする。",2.0,4.2,8.5,12,16,2,,放射線安全管理学,第72回(2020),普通
[A98] 放射線による表面汚染の管理で正しいのはどれか。,間接測定法は固着性汚染の測定に適する。,直接測定法は遊離性汚染の測定に適する。,表面汚染の測定はJIS規格に規定されている。,表面密度限度以下の物品は管理区域外に持ち出してもよい。,α線を放出する放射性同位元素の表面密度限度は40 Bq/cm2である。,3,,放射線安全管理学,第72回(2020),普通
[A99] 放射線同位元素による汚染の除染作業について正しいのはどれか。,傷口の汚染は多量の温流水で洗い流す。,除染に使用したガーゼ類は直ちに廃棄する。,皮膚の除染剤としてアルコールを使用する。,除染剤は化学的活性度の高いものから優先して使用する。,床面は汚染レベルの高い方から低い方に向かって除染する。,,※採点除外 ※採点除外問題,放射線安全管理学,第72回(2020),普通
[A100] 医療安全に関する用語と事例の組合せで正しいのはどれか。2つ選べ。,アクシデント撮影条件の誤りに気づいて検査実施前に修正した。,インシデント画像検査中に患者が装置から転落して負傷した。,ヒヤリハット診療放射線技師が使用済み注射針を自らに誤って刺した。,フールプルーフ適切な薬剤のみが接続されるように設計された形状のコネクタを使用した。,フェイルセーフ気泡の検出と連動する自動停止機能が備わった造影剤注入装置を使用した。,"4,5",,放射線安全管理学,第72回(2020),普通
[B1] 放射性核種の分離に関する組合せで正しいのはどれか。,電気泳動法 — イオン化傾向,昇華・蒸留法 — 担体,電気化学的置換法 — 外部電源,ラジオコロイド法 — 粒子,カラムクロマトグラフィ — 有機相,4,,診療画像検査学,第72回(2020),普通
[B2] 放射化学的純度の検定で使われるのはどれか。2つ選べ。,電気泳動法,イオン交換法,放射化分析法,γ線スペクトロメトリ,高速液体クロマトグラフィ,"1,5",,診療画像検査学,第72回(2020),普通
[B3] 原子炉を利用する分析法はどれか。,PIXE法,蛍光X線分析法,光量子放射化分析法,中性子放射化分析法,オートラジオグラフィ,4,,診療画像検査学,第72回(2020),普通
[B4] 半減期10分の核種を加速器で製造することとした。10分間照射した生成放射能1A13に対する20分間照射した生成放射能1A23の比1A2/A13はどれか。,0.50,0.67,1.50,2.00,2.55,3,,診療画像検査学,第72回(2020),普通
[B5] X線CT装置のアーチファクトで装置の調整や整備が必要となるのはどれか。,メタルアーチファクト,リングアーチファクト,モーションアーチファクト,パーシャルボリュームアーチファクト,ステップアップ〈階段状〉アーチファクト,2,,診療画像検査学,第72回(2020),普通
[B6] 超音波検査について誤っているのはどれか。,生体内における音速は組織によって異なる。,音響インピーダンスが異なる境界では反射を生ずる。,超音波のパルス幅が短いほど距離分解能は低下する。,探触子1プローブ3の周波数が高いほど深部の観察が困難となる。,伝播速度が異なる2つの媒質の境界に音波が斜めに入射すると透過波は屈折する。,3,,診療画像検査学,第72回(2020),普通
[B7] X線管装置について正しいのはどれか。,実効焦点面積は実焦点面積より大きい。,長時間許容負荷は焦点面の温度で制限される。,焦点外X線の線質は焦点近傍で最も硬質である。,実焦点の大きさは低電圧で大電流ほど小さくなる。,X線強度分布は陽極側に比べて陰極側の方が大きい。,5,,診療画像検査学,第72回(2020),普通
