設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A12] MRI装置の静磁場が強い場合、正しいのはどれか。,SARが低下する。,縦緩和時間が短縮する。,T2＊による影響が減少する。,撮影可能な範囲が狭くなる。,Larmor〈ラーモア〉周波数は低くなる。,4,,核医学検査技術学,第68回(2016),普通
[A13] MRI装置で正しいのはどれか。2つ選べ。,永久磁石は磁気材料の温度依存性が少ない。,永久磁石は超電導磁石に比べ維持費が安い。,超電導磁石の静磁場方向は体軸に平行である。,常電導磁石は常時液体ヘリウムで冷却する必要がある。,超電導磁石は超電導状態になれば液体ヘリウムは必要ない。,"2,3",,核医学検査技術学,第68回(2016),普通
[A14] 造影剤自動注入器の使用で誤っているのはどれか。,MRIの造影剤自動注入器にシリンジタイプ造影剤を用いる。,MRIに用いる造影剤自動注入器は超音波モータを使用している。,血管造影検査に用いる造影剤自動注入器はX線制御装置と連動する。,CTコロノグラフィでは硫酸バリウムを造影剤自動注入器で注入する。,X線CTにはデュアルインジェクタヘッドの造影剤自動注入器を使用する。,4,,核医学検査技術学,第68回(2016),普通
[A15] MRIで撮影時間が1/2になるのはどれか。,加算回数を2倍にする。,SENSE factorを2倍にする。,位相エンコード数を2倍にする。,周波数エンコード数を1/2にする。,高速スピンエコー法のエコートレイン数を1/2にする。,2,,核医学検査技術学,第68回(2016),普通
[A16] MRAで正しいのはどれか。,PC法は血流の方向にMPGパルスを印加する。,PC法はvelocity encodingの設定が必要である。,TOF法は流速の定量評価が可能である。,TOF法は血流による位相変化を利用している。,TOF法は撮影断面と平行な血管を描出しやすい。,2,,核医学検査技術学,第68回(2016),普通
[A17] 正常脳の1H-MRSを別に示す。矢印で示す代謝物はどれか。【別冊No.1 図】,乳酸,コリン化合物,クレアチン化合物,ミオイノシトール,N-アセチルアスパラギン酸kNAAl,5,,核医学検査技術学,第68回(2016),普通
[A18] Gd-EOB-DTPAで正しいのはどれか。,経口投与する。,強磁性体である。,尿中には排泄されない。,肝細胞に特異的に集積する。,高齢者への投与は禁忌である。,4,,核医学検査技術学,第68回(2016),普通
[A19] 超音波検査で正しいのはどれか。,胆囊の検査は空腹時に行う。,血流計測にMモード法を用いる。,乳腺の検査では前処置として絶食させる。,心臓ペースメーカ装着者の検査は禁忌である。,甲状腺の検査には腹部よりも低い周波数のプローブを用いる。,1,,核医学検査技術学,第68回(2016),普通
[A20] 胆囊の超音波像を別に示す。矢印で示すアーチファクトの要因はどれか。【別冊No.2 図】,鏡面現象,多重反射,音響陰影,サイドローブ,後方エコーの増強,2,,核医学検査技術学,第68回(2016),普通
[A21] Gd-EOB-DTPA投与20分後の腹部MRIの脂肪抑制T1強調像を別に示す。矢印で示す構造はどれか。【別冊No.3 図】,胆管,膵管,門脈,肝動脈,肝静脈,1,,放射線治療技術学,第68回(2016),普通
[A22] 頭部MRIのT2強調横断像1別冊No. 4Ａ3と点線のレベルのT1強調冠状断像1別冊No. 4Ｂ3を別に示す。矢印で示す構造はどれか。,上直筋,下直筋,眼動脈,視神経,動眼神経,4,,放射線治療技術学,第68回(2016),普通
[A23] 肝臓のMR像を別に示す。左葉にみられるのはどれか。【別冊No.5 図】,浮腫,壊死,鉄沈着,脂肪沈着,ヨウ素沈着,4,,放射線治療技術学,第68回(2016),普通
[A24] 超音波像で境界明瞭な無エコー像として描出されるのはどれか。,肝硬変,肝囊胞,肝膿瘍,脂肪肝,肝血管腫,2,,放射線治療技術学,第68回(2016),普通
[A25] 腎臓の糸球体でろ過されるが、尿細管では分泌も再吸収もされない放射性医薬品はどれか。,99mTc-DMSA,99mTc-DTPA,99mTc-ECD,99mTc-MAG3,99mTc-MIBI,2,,放射線治療技術学,第68回(2016),普通
[A26] ガンマカメラの性能とその評価に使用するものとの組合せで正しいのはどれか。,総合直線性 — 線線源,総合分解能 — 面線源,固有空間分解能 — 点線源,固有計数率特性 — バーファントム,固有エネルギー分解能 — スリットファントム,3,,放射線治療技術学,第68回(2016),普通
[A27] SPECTのデータ収集で正しいのはどれか。,360度収集は180度収集よりも定量性が低い。,収集カウントが4倍になるとSN比は2倍になる。,円軌道収集は近接軌道収集よりも空間分解能が高い。,ピクセルサイズはシステム分解能の2倍以上とする。,ステップ収集では検出器の静止時にデータは収集されない。,2,,放射線治療技術学,第68回(2016),普通
[A28] ダイナミック収集によって算出する指標はどれか。,Na123Iを用いた甲状腺摂取率,18F-FDGを用いたSUVmax,123I-MIBGを用いた心縦隔比,99mTc-ECDを用いた局所脳血流量,99mTc-MAAを用いた右左シャント率123,4,,放射線治療技術学,第68回(2016),普通
[A29] Iと組み合わせて2核種同時収集に用いられる頻度の高い核種はどれか。,67Ga,81mKr,111In,131I,201Tl,5,,放射線治療技術学,第68回(2016),普通
[A30] 心電図同期心筋SPECTにおける解析で正しいのはどれか。,左室肥大の影響を受けない。,拡張期の心機能指標は得られない。,小さな心臓では左室容量が過小評価となる。,R-R間隔の分割数が多くなるとSN比が向上する。,R-R間隔の分割数が少なくなると収縮末期容量は過小評価となる。,3,,放射線治療技術学,第68回(2016),普通
[A31] 認知症の核医学検査で正しいのはどれか。,123I-IMP投与3時間後の画像で診断する。,123I-MIBGの心臓の集積は前頭側頭型認知症で低下する。,画像統計解析では若年健常者から得られたデータベースと比較する。,123I-イオマゼニルはLewy〈レビー〉小体型認知症の診断に用いられる。,早期のAlzheimer〈アルツハイマー〉型認知症では前頭葉の血流は保たれる。,5,,医用画像情報学,第68回(2016),普通
[A32] 肺の核医学検査で正しいのはどれか。,肺塞栓症では換気の低下を認める。,99mTc-MAAの分布は投与するときの体位の影響を受ける。,133Xeを用いた肺換気シンチグラフィでは側面像を撮影する。,99mTcガスを用いた肺換気シンチグラフィではSPECT撮影はできない。,81mKrを使用した肺換気シンチグラフィでは肺からの洗い出しを評価する。,2,,医用画像情報学,第68回(2016),普通
[A33] 骨シンチグラフィで正しいのはどれか。,放射性医薬品として99mTc標識リン酸化合物を用いる。,排尿後に放射性医薬品を投与する。,患者は投与から撮影開始までの間は検査室外に出られない。,投与後約30分で撮影を開始する。,検査当日の入浴を禁止する。,1,,医用画像情報学,第68回(2016),普通
[A34] ガリウムシンチグラフィが有用な疾患はどれか。,胃癌,腎癌,子宮体癌,前立腺癌,悪性リンパ腫,5,,医用画像情報学,第68回(2016),普通
[A35] 放射線障害防止法において、放射線業務従事者が初めて管理区域に立ち入る前に行う健康診断で必要項目はどれか。2つ選べ。,肝機能,腎機能,赤血球数,白血球百分率,血清ナトリウム値,"3,4",,医用画像情報学,第68回(2016),普通
[A36] 放射線治療が適応とならないのはどれか。,小児,妊婦,高齢者,全身状態不良者,妊娠可能年齢の女性,2,,診療画像検査学,第68回(2016),普通
[A37] リニアックで正しいのはどれか。,電子ビームは偏向磁石で集束される。,加速管は遮へい能力の高い鉛製である。,クライストロンはマイクロ波増幅管である。,進行波型は定在波型に比べ加速管を短くできる。,フラットニングフィルタは電子線治療に用いられる。,3,,診療画像検査学,第68回(2016),普通
[A38] 物理的半減期が最も短いのはどれか。,60Co,125I,137Cs,192Ir,198Au,5,,診療画像検査学,第68回(2016),普通
[A39] 放射線治療の品質管理で正しいのはどれか。2つ選べ。,X線照射野は月1回点検する。,コミッショニングは納入業者が行う。,リファレンス線量計は年1回校正を受ける。,モニタ線量計の校正には固体ファントムを使用する。,投与線量で許容される不確かさは処方線量の案10％以内である。,"1,3",,診療画像検査学,第68回(2016),普通
"[A40] PDD、TAR、TPRの定義で正しいのはどれか。2つ選べ。ただし、D1d, A3、D1d, A03は深さdにおける照射野A、A0のときの吸収線量で、D1dr, A3、D1dr, A03は基準深吸収線量、DΔm1A3は空中組織吸収線量である。D m1A3","TAR1d, A3＝D1d, A3 D1d, A3","TPR1d, A3＝D m1A3 D1d, A3","TPR1d, A3＝D1dr, A3 D1d, A3","PDD1d, A3＝100・D1dr, A3 D1d, A03","PDD1d, A03＝100・D1dr, A03","3,5",,基礎医学大要,第68回(2016),普通
[A41] リスク臓器の線量低減の方法で誤っているのはどれか。,不整形照射野,楔状フィルタ,斜入二門照射,ノンコプラナ照射,強度変調放射線治療kIMRTl,2,,基礎医学大要,第68回(2016),普通
[A42] 密封小線源治療で正しいのはどれか。,125Iの半減期は110日である。,舌癌にはモールド法を用いる。,高線量率線源として125Iを用いる。,前立腺癌の永久刺入線源に60Coを用いる。,子宮頸癌ではアプリケータとしてタンデムとオボイドを用いる。,5,,基礎医学大要,第68回(2016),普通
[A43] 早期声門癌に用いる照射法はどれか。,四門照射,回転照射,前一門照射,前後対向二門照射,左右非対向二門照射,5,,基礎医学大要,第68回(2016),普通
[A44] 根治的放射線治療に用いる線量が最も高いのはどれか。,膠芽腫,食道癌,小細胞肺癌,前立腺癌,悪性リンパ腫,4,,基礎医学大要,第68回(2016),普通
[A45] 同一数値を表す16進数と2進数の組合せで正しいのはどれか。,AB — 10101001,BD — 10011101,EC — 11101100,F1 — 11110010,F8 — 11111110,3,,基礎医学大要,第68回(2016),普通
[A46] 透過光が入射光の5％になるフィルムAと2％になるフィルムBがある。2枚のフィルムを重ねて観察したときの写真濃度に最も近いのはどれか。,0.001,0.07,1.0,2.2,3.0,5,,基礎医学大要,第68回(2016),普通
[A47] Fourier〈フーリエ〉変換で正しいのはどれか。,奇関数のFourier変換は実数になる。,Fourier変換で得られる周波数成分には虚部と実部がある。,画像のパワースペクトルを逆Fourier変換すると元の画像になる。,畳み込み積分のFourier変換はそれぞれのFourier変換の和に等しい。,Fourier変換で得られるスペクトルの絶対値をパワースペクトルという。,2,,基礎医学大要,第68回(2016),普通
[A48] 診療録等の電子保存における見読性の確保の説明はどれか。2つ選べ。,復元可能な状態であること。,作成責任者の識別ができること。,過失による消去を防止できること。,情報内容を直ちに書面に表示できること。,必要に応じて情報内容を肉眼で確認できること。,"4,5",,基礎医学大要,第68回(2016),普通
[A49] 医用モニタの不変性試験項目のうち、目視確認を行うのはどれか。,色度,照度,最大輝度,輝度均一性,コントラスト応答,4,,基礎医学大要,第68回(2016),普通
[A50] 下垂体後葉から分泌されるのはどれか。,成長ホルモン,バソプレシン,ソマトスタチン,甲状腺刺激ホルモン,副腎皮質刺激ホルモン,2,,基礎医学大要,第68回(2016),普通
[A51] 解剖学的に正しいのはどれか。,母指は尺側にある。,前腕は上腕の近位にある。,頸部は体幹の尾側にある。,脊柱は体幹の腹側にある。,寛骨は仙骨の外側にある。,5,,基礎医学大要,第68回(2016),普通
[A52] 細胞周期で1細胞中のDNA量が多いのはどれか。2つ選べ。,G0期,G1期,G2期,M期,S期,"3,4",,基礎医学大要,第68回(2016),普通
[A53] 咀嚼に関わるのはどれか。,下直筋,頸長筋,僧帽筋,アブミ骨筋,内側翼突筋,5,,基礎医学大要,第68回(2016),普通
[A54] 脳底動脈から直接分岐するのはどれか。,眼動脈,後交通動脈,上小脳動脈,中硬膜動脈,中大脳動脈,3,,基礎医学大要,第68回(2016),普通
[A55] 胃と十二指腸の構造について正しいのはどれか。,胃角は大弯にある。,胃の入り口を幽門という。,胃の上部の膨らんだ部分を前庭部という。,大十二指腸乳頭は十二指腸下行脚にある。,大十二指腸乳頭に総胆管と副膵管が開口する。,4,,放射線生物学,第68回(2016),普通
[A56] 女性の性周期で正しいのはどれか。,基礎体温は排卵を境に低温期となる。,卵胞ホルモンの分泌は排卵後に増加する。,卵胞期では子宮内膜の厚さは一定である。,月経は黄体ホルモン値の上昇に伴い終了する。,卵胞刺激ホルモンの分泌は排卵時にピークとなる。,5,,放射線生物学,第68回(2016),普通
[A57] IgE抗体が関与するのはどれか。,Ⅰ型アレルギー,Ⅱ型アレルギー,Ⅲ型アレルギー,Ⅳ型アレルギー,Ⅴ型アレルギー,1,,放射線生物学,第68回(2016),普通
[A58] 癌の部位と最も頻度の高い組織型の組合せで正しいのはどれか。,舌癌腺癌,肺癌小細胞癌,食道癌 — 腺癌,皮膚癌 — 扁平上皮癌,膀胱癌 — 扁平上皮癌,4,,放射線生物学,第68回(2016),普通
[A59] 骨折で正しいのはどれか。,眼窩吹き抜け骨折は眼窩外側が最も多い。,顔面骨折は鼻骨が最も多い。,椎体の圧迫骨折は頸椎が最も多い。,高齢者の大腿骨骨折は骨幹部が最も多い。,足の疲労骨折は距骨が最も多い。,2,,放射線生物学,第68回(2016),普通
[A60] 胃潰瘍で正しいのはどれか。,大弯に好発する。,最も多い自覚症状は吐血である。,十二指腸潰瘍よりも発生率は低い。,X線造影検査で胃癌との鑑別は容易である。,ヘリコバクターピロリの感染が関係している。,5,,放射線物理学,第68回(2016),普通
[A61] 小児に好発する腎腫瘍はどれか。,腎細胞癌,転移性腫瘍,悪性リンパ腫,血管筋脂肪腫,Wilms〈ウィルムス〉腫瘍,5,,放射線物理学,第68回(2016),普通
[A62] 甲状腺ホルモンの不足時にみられる症状はどれか。,微熱,多尿,下痢,徐脈,発汗過多,4,,放射線物理学,第68回(2016),普通
[A63] 脳動脈瘤の治療法はどれか。2つ選べ。,動脈瘤切除術,定位放射線照射,ステント内挿術,金属コイル塞栓術,動脈瘤クリッピング術,"4,5",,放射線物理学,第68回(2016),普通
[A64] 三次予防はどれか。,がん検診,予防接種,職場の事故防止,地域での健康教育,脳梗塞後の理学療法,5,,放射線物理学,第68回(2016),普通
[A65] 間接電離放射線はどれか。,X線,α線,β線,電子線,陽子線,1,,医用工学,第68回(2016),普通
[A66] 増殖中の細胞への放射線照射後、最も早期に生じるのはどれか。,間期死,増殖死,突然変異,分裂遅延,アポトーシス,4,,医用工学,第68回(2016),普通
[A67] 放射線感受性が2番目に高いのはどれか。,膠芽腫,甲状腺未分化癌,小細胞肺癌,胃癌,悪性リンパ腫,3,,医用工学,第68回(2016),普通
[A68] X線による放射線治療でBergonié-Tribondeaukベルゴニエ･トリボンドーlの法則を考慮し設定すべきなのはどれか。,線量,固定具,臨床標的体積,計画標的体積,X線のエネルギー,1,,放射線計測学,第68回(2016),普通
[A69] 放射線治療において、長期に照射を休止した場合の治療効果の低下に最も関連が深いのはどれか。,再酸素化,加速再増殖,組織内壊死,細胞周期の再分布,亜致死障害からの回復,2,,放射線計測学,第68回(2016),普通
[A70] 光子の物理的特性で正しいのはどれか。,運動量は0である。,直接電離放射線である。,粒子性と波動性を有する。,エネルギーは振動数に反比例する。,伝播速度は媒質によらず一定である。,3,,放射線計測学,第68回(2016),普通
[A71] 反ニュートリノの放出を伴うのはどれか。,β−壊変,β＋壊変,内部転換,核異性体転移,軌道電子捕獲,1,,放射線計測学,第68回(2016),普通
[A72] 光電効果で正しいのはどれか。,軌道電子との弾性散乱である。,断面積は吸収端で急激に変化する。,光電子の反跳角は原子に固有の値となる。,L吸収端のエネルギーはK吸収端より高い。,入射光子と光電子の運動エネルギーは等しい。,2,,放射線計測学,第68回(2016),普通
[A73] 電子線に対する鉛の放射阻止能と衝突阻止能が等しくなるエネルギー［MeV］として最も近いのはどれか。,— 8,— 10,— 80,— 100,"1,600",2,,診療画像機器学,第68回(2016),普通
[A74] 中性子で正しいのはどれか。2つ選べ。,直接電離放射線である。,自由な中性子はβ−壊変する。,252Cfの自発核分裂で放出される。,原子核のCoulomb〈クーロン〉場で散乱する。,熱中性子の最頻エネルギーは約2.5 eVである。,"2,3",,診療画像機器学,第68回(2016),普通
[A75] 電磁誘導に関係するのはどれか。2つ選べ。,Ohm〈オーム〉の法則,Lenz〈レンツ〉の法則,Joule〈ジュール〉の法則,Faraday〈ファラデー〉の法則,Kirchhoff〈キルヒホッフ〉の法則,"2,4",,診療画像機器学,第68回(2016),普通
[A76] 正弦波交流の実効値Veと平均値Vaとの比1Ve：Va3はどれか。,π：1,π：2,π：3,π：2,π：2 2,5,,診療画像機器学,第68回(2016),普通
[A77] 半導体の性質で正しいのはどれか。2つ選べ。,熱電効果が現れる。,磁界によってホール効果が現れる。,光照射によって電気抵抗率が高くなる。,温度が高くなると電気抵抗率が高くなる。,微量不純物の添加量に比例して電気抵抗率が高くなる。,"1,2",,診療画像機器学,第68回(2016),普通
[A78] 物理量と放射線の組合せで正しいのはどれか。2つ選べ。,W値 — 炭素線,カーマ — 電子線,阻止能 — X線,照射線量 — 中性子線,質量エネルギー吸収係数 — γ線,"1,5",,診療画像機器学,第68回(2016),普通
[A79] 発光現象を利用した検出器はどれか。2つ選べ。,電離箱,GM計数管,比例計数管,シンチレーション検出器,熱ルミネッセンス線量計,"4,5",,診療画像機器学,第68回(2016),普通
[A80] 吸収線量で正しいのはどれか。,熱量計によって絶対測定ができる。,制限質量衝突阻止能比に反比例する。,測定値の温度気圧補正にはBoagの式が用いられる。,過渡電子平衡が成立するときは衝突カーマに等しい。,霧箱ではBragg-Graykブラッグ･グレイlの空洞理論に基づいて測定する。,1,,診療画像機器学,第68回(2016),普通
[A81] GM計数管で正しいのはどれか。,不感時間がない。,電離箱領域で動作する。,中心電極の近傍では電界が弱い。,出力信号は一次電離量に比例しない。,外部消滅法は放電直後に印加電圧を上げる。,4,,診療画像機器学,第68回(2016),普通
[A82] 高エネルギー光子線の吸収線量計測で正しいのはどれか。2つ選べ。,水等価ファントムを使用することができる。,エネルギーが高くなるほど電離箱の線質変換係数は小さくなる。,校正深でのファーマ形電離箱による測定では半径変位法を用いる。,パルス当たりの電離密度が高くなるほどイオン再結合は大きくなる。,エネルギーが高くなるほど水/空気の質量衝突阻止能比は大きくなる。,"2,4",,診療画像機器学,第68回(2016),普通
[A83] 感染症患者に対するX線撮影時の診療放射線技師の対応で正しいのはどれか。,感染情報は撮影終了後に入手する。,感染症患者の撮影はその日の最初に実施する。,感染症患者の撮影時に着用した手袋は一般ゴミとして処理する。,撮影時に空気感染の危険がある場合にはN 95マスクを着用する。,ノロウイルス患者の嘔吐物が付着した補助具はエタノールで消毒する。,4,,X線撮影技術学,第68回(2016),普通
[A84] X線撮影で被写体から発生する散乱線が増加するのはどれか。ただし、他の条件は一定とする。,管電流を下げる。,管電圧を高くする。,照射野を狭くする。,グリッドを使用する。,被写体と検出器間の距離を長くする。,2,,X線撮影技術学,第68回(2016),普通
[A85] X線写真を別に示す。撮影法で正しいのはどれか。【別冊No.6 図】,Martius〈マルチウス〉法,Stryker〈ストライカー〉法,Anthonsen〈アントンセン〉法,Caldwell〈コールドウェル〉法,Lauenstein〈ラウエンシュタイン〉法,5,,X線撮影技術学,第68回(2016),普通
[A86] 乳房X線撮影で乳房を圧迫した際に増加するのはどれか。,散乱線,乳腺の観察域,幾何学的ボケ,乳腺組織吸収線量,被検者の動きによるボケ,2,,X線撮影技術学,第68回(2016),普通
[A87] 造影剤を逆行性に投与する検査はどれか。2つ選べ。,食道造影,注腸造影,下肢静脈造影,子宮卵管造影,十二指腸造影,"2,4",,X線撮影技術学,第68回(2016),普通
[A88] 腹部CT像を別に示す。矢印で示すアーチファクトの原因はどれか。【別冊No.7 図】,患者の体動,部分体積現象,体内での線質硬化,X線管焦点の荒れ,検出器チャネルの出力値異常,5,,X線撮影技術学,第68回(2016),普通
[A89] 手根骨の正面X線写真を別に示す。矢印で示すのはどれか。【別冊No.8 図】,舟状骨,月状骨,有頭骨,有鉤骨,大菱形骨,5,,X線撮影技術学,第68回(2016),普通
[A90] 血管造影写真を別に示す。矢印で示すのはどれか。【別冊No.9 図】,脾動脈,左胃動脈,総肝動脈,固有肝動脈,胃十二指腸動脈,3,,X線撮影技術学,第68回(2016),普通
[A91] 頸部の造影CT像を別に示す。矢印で示すのはどれか。【別冊No.10 図】,気管,食道,甲状腺,総頸動脈,内頸静脈,3,,X線撮影技術学,第68回(2016),普通
[A92] 腹部CT像を別に示す。正しい組合せはどれか。【別冊No.11 図】,ア — 肝静脈,イ — 下大静脈,ウ — 胃,エ — 膵臓,オ — 脾臓,3,,X線撮影技術学,第68回(2016),普通
[A93] 画質評価法で正しいのはどれか。,DQEの算出に入射X線光子数を用いる。,MTFの高周波成分から粒状性が評価できる。,特性曲線の低濃度部から粒状性が評価できる。,RMSの算出にFourier〈フーリエ〉変換を利用する。,ROC曲線を作成する際にラダーファントムを使用する。,1,,画像工学,第68回(2016),普通
[A94] 解像度を維持しながら画像ノイズを低減するのに有用なのはどれか。2つ選べ。,階調処理,加算平均処理,平均値フィルタ処理,ハイパスフィルタ処理,メディアンフィルタ処理,"2,5",,画像工学,第68回(2016),普通
[A95] ROC解析で正しいのはどれか。2つ選べ。,連続確信度法は5段階評定である。,特異度は有病正診率と呼ばれている。,ROC曲線下の面積を用いて評価する。,観察者間の診断能力の差は評価できない。,CT像とMR像の病変検出能の違いを評価できる。,"3,5",,画像工学,第68回(2016),普通
[A96] 国際放射線防護委員会kICRPl2007年勧告の医療被ばくにおける診断参考レベルで正しいのはどれか。,各施設が独自に設定する。,放射線治療には適用しない。,被ばくの正当化を目的とする。,患者個人の線量拘束値である。,診断参考レベルを超えて被ばくさせてはならない。,2,,放射線安全管理学,第68回(2016),普通
[A97] 法令とその規制対象の組合せで正しいのはどれか。2つ選べ。,医療法 — 照射録への署名,電波法 — MRI装置の使用許可,労働安全衛生法 — 労働者の健康診断,診療放射線技師法 — エックス線装置の設置届,放射線障害防止法 — エックス線診療室の構造設備,"2,3",,放射線安全管理学,第68回(2016),普通
[A98] 蛍光ガラス線量計の特性で正しいのはどれか。2つ選べ。,繰り返し測定が可能である。,検出下限値は1mSvである。,長期間の積算線量が測定できる。,蛍光ガラス素子はGaイオンを含有する。,ガラスを赤外線で刺激することによって蛍光を発する。,"1,3",,放射線安全管理学,第68回(2016),普通
[A99] 表面汚染の管理で正しいのはどれか。2つ選べ。,γ線放出核種の表面密度限度は4Bq/cm2である。,β線放出核種の表面密度限度は40 Bq/cm2である。,β線放出核種の表面汚染測定にはBF3比例計数管を使用する。,α線放出核種の表面汚染測定には端窓型GM計数管を使用する。,表面密度限度の1/10を超えるものは管理区域からみだりに持ち出さない。,"2,5",,放射線安全管理学,第68回(2016),普通
[A100] X線撮影で患者の皮膚の吸収線量が低下するのはどれか。ただし、他の条件は一定とする。,照射野を広くする。,低電圧で撮影する。,管電流を大きくする。,付加フィルタを使用する。,高格子比のグリッドを使用する。,4,,放射線安全管理学,第68回(2016),普通
[B1] 炭素の同位体で正しいのはどれか。2つ選べ。,11Cは天然に存在する。,13Cは天然に存在する。,11Cは安定同位元素である。,13Cは放射性同位元素である。,14Cは年代測定に利用される。,"2,5",,診療画像検査学,第68回(2016),普通
[B2] 原子炉で製造される核種はどれか。2つ選べ。,67Ga,99Mo,123I,131I,201Tl,"2,4",,診療画像検査学,第68回(2016),普通
[B3] PET薬剤の放射化学的純度の検定に用いるのはどれか。,ホットアトム法,クロラミン-T法,トリチウムガス接触法,高速液体クロマトグラフィ,ラクトパーオキシダーゼ法,4,,診療画像検査学,第68回(2016),普通
[B4] 放射化分析で正しいのはどれか。2つ選べ。,検出感度が高い。,成分定量の精度が高い。,自己遮へいの影響がない。,使用する装置が安価である。,多元素同時分析が可能である。,"1,5",,診療画像検査学,第68回(2016),普通
[B5] 回転陽極X線管の短時間許容負荷が増加するのはどれか。2つ選べ。,回転数を増やす。,陽極半径を大きくする。,ターゲット角を大きくする。,フィラメント電流を大きくする。,ターゲット-フィラメント間距離を広げる。,"1,2",,診療画像検査学,第68回(2016),普通
[B6] X線用可動絞りで最もX線管側にある部品はどれか。,上羽根,奥羽根,下羽根,ミラー,目盛板,2,,診療画像検査学,第68回(2016),普通
[B7] X線自動露出制御装置を用いた撮影で画像濃度が低下するのはどれか。,被写体厚の増加,撮影時間の短縮,後面検出方式における管電圧の低下,前面検出方式における管電圧の上昇,後面検出方式における管電流の増大,1,,診療画像検査学,第68回(2016),普通
[B8] 撮像管と比較した場合のCCDの特徴で正しいのはどれか。2つ選べ。,振動に弱い。,残像が多い。,変調度が低い。,画像歪みが少ない。,ダイナミックレンジが広い。,"4,5",,診療画像検査学,第68回(2016),普通
[B9] X線透視撮影装置で正しいのはどれか。,近接式は術者のX線防護が不要である。,近接式は遠隔式に比べ術者被ばくが少ない。,近接式は遠隔式に比べ正確な体位変換が困難である。,アンダーテーブルX線管形はオーバーテーブルX線管形に比べ術者の被ばくは少ない。,オーバーテーブルX線管形はアンダーテーブルX線管形に比べ患者の体位変換が困難である。,4,,診療画像検査学,第68回(2016),普通
[B10] 散乱線除去グリッドで正しいのはどれか。,同一のグリッドであれば管電圧が低いほど露出倍数は小さい。,グリッド比は吸収はくの間隔に対する吸収はくの高さの比である。,グリッド密度とは中心部における10 cm当たりのはくの本数をいう。,グリッド密度が同じであればグリッド比が大きいほど露出倍数は小さい。,グリッド比が同じであればグリッド密度が小さいほど露出倍数は小さい。,2,,診療画像検査学,第68回(2016),普通
