設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A28] 聴覚伝導路でないのはどれか。,蝸牛神経核,上オリーブ核,外側毛帯,下丘,外側膝状体,5,,臨床生理学,第70回(2024),普通
[A29] 水、10 mg/dL標準液、血清の終点分析法における反応終了後の吸光度を測定したところそれぞれ0.02、0.30、0.16であった。血清中に含まれる物質の濃度［mg/dL］で正しいのはどれか。,5.0,5.2,5.4,5.6,5.8,1,,臨床化学,第70回(2024),普通
[A30] マグネシウムで正しいのはどれか。,EDTA加血漿では低値となる。,欠乏すると味覚障害を引き起こす。,細胞内液より細胞外液に多く含まれる。,血清中では90％がイオン型で存在する。,ホスホリパーゼDを用いた酵素法にて測定される。,1,,臨床化学,第70回(2024),普通
[A31] アガロースゲルを用いたリポ蛋白電気泳動で、β位とpre β位に強い染色像が認められた。WHO脂質異常症タイプ分類で考えられるのはどれか。,TypeⅠ,TypeⅡa,TypeⅡb,TypeⅣ,TypeⅤ,3,,臨床化学,第70回(2024),普通
[A32] 尿素で正しいのはどれか。,血中濃度は小児が成人よりも高い。,ウリカーゼによって加水分解される。,消化管出血により血中濃度が減少する。,血中非蛋白性窒素の中で最も濃度が高い。,生体内でアルドラーゼによって生成される。,4,,臨床化学,第70回(2024),普通
[A33] AST活性測定用試薬（日本臨床化学会〈JSCC〉勧告法）に含まれないのはどれか。,NADH,オキサロ酢酸,L-アスパラギン酸,リンゴ酸脱水素酵素,2-オキソグルタル酸,2,,臨床化学,第70回(2024),普通
[A34] 敗血症マーカーはどれか。,KL-6,シスタチンC,プレセプシン,アンジオテンシン変換酵素〈ACE〉,N-アセチルグルコサミニダーゼ〈NAG〉,3,,臨床化学,第70回(2024),普通
[A35] グルコースオキシダーゼ法による血糖測定で利用する酵素はどれか。,α-アミラーゼ,α-グルコシダーゼ,グルコース-6-ホスファターゼ,マルターゼ,ムタロターゼ,5,,臨床化学,第70回(2024),普通
[A36] 血中の半減期が最も長いのはどれか。,ALT,AST,CK,LD5,α-アミラーゼ,1,,臨床化学,第70回(2024),普通
[A37] ALPで誤っているのはどれか。,ALP1は閉塞性黄疸で上昇する。,ALP2はABO血液型の影響を受ける。,ALP3は小児期に高値を示す。,ALP4は妊娠後期に上昇する。,ALP5は食事の影響を受ける。,2,,臨床化学,第70回(2024),普通
[A38] ペプチドホルモンはどれか。2つ選べ。,アドレナリン,アルドステロン,カルシトニン,サイロキシン,副甲状腺ホルモン〈PTH〉,"3,5",,臨床化学,第70回(2024),普通
[A39] 260 nmが極大吸収波長であるのはどれか。,DNA,尿酸,ビリルビン,ヘモグロビン,芳香族アミノ酸,1,,臨床化学,第70回(2024),普通
[A40] グルコースのみで構成される二糖類はどれか。,スクロース,マルトース,ラクトース,ガラクトース,フルクトース,2,,臨床化学,第70回(2024),普通
[A41] 解糖系の律速酵素はどれか。,エノラーゼ,アルドラーゼ,イソメラーゼ,ヘキソキナーゼ,ホスホグリセリン酸キナーゼ,4,,臨床化学,第70回(2024),普通
[A42] 構造蛋白質はどれか。,アルブミン,コラーゲン,フィブリノゲン,セルロプラスミン,α1-リポプロテイン,2,,臨床化学,第70回(2024),普通
[A43] 半減期3日の放射性同位元素の放射能が1/8になるのはどれか。,6日後,9日後,12日後,24日後,48日後,2,,臨床化学,第70回(2024),普通
[A44] 血中カルシウムで正しいのはどれか。,約30％がイオン型で存在する。,基準範囲は3.6〜4.4 mg/dLである。,低アルブミン血症では偽高値を示す。,アルカローシスではイオン型が低下する。,副甲状腺ホルモン〈PTH〉の作用で低下する。,4,,臨床化学,第70回(2024),普通
[A45] 組織の固定原理がメチレン架橋によるのはどれか。,酢酸,アセトン,エタノール,ピクリン酸,ホルマリン,5,,病理組織細胞学,第70回(2024),普通
[A46] リンパ節の術中迅速組織標本の弱拡大写真と強拡大写真を別に示す。標本にみられる不良の原因はどれか。【別冊No.8A・B 図】,切り出し,凍結,薄切,固定,染色,3,,病理組織細胞学,第70回(2024),普通
[A47] ヘマトキシリンの分別に用いるのはどれか。,アンモニア水,炭酸リチウム,塩酸アルコール,カリウムミョウバン,ヨウ素酸ナトリウム,3,,病理組織細胞学,第70回(2024),普通
[A48] 弾性線維と膠原線維を染め分けるのはどれか。,PAM染色,渡辺の鍍銀法,Victoria blue染色,Masson trichrome染色,elastica van Gieson染色,5,,病理組織細胞学,第70回(2024),普通
[A49] 食道のPAS染色標本とα-アミラーゼ消化後のPAS染色標本を別に示す。消化試験で同定されるのはどれか。【別冊No.9A・B 図】,線維素,中性粘液,アミロイド,グリコーゲン,リポフスチン,4,,病理組織細胞学,第70回(2024),普通
[A50] 腹水のPapanicolaou染色標本を別に示す。矢印で示す細胞はどれか。【別冊No.10 図】,組織球,中皮細胞,印環細胞癌,扁平上皮癌,悪性リンパ腫,3,,病理組織細胞学,第70回(2024),普通
[A51] 腎近位尿細管の刷子縁に一致する電子顕微鏡像はどれか。,線毛,微絨毛,ゴルジ装置,粗面小胞体,ミトコンドリア,2,,病理組織細胞学,第70回(2024),普通
[A52] 神経組織で正しいのはどれか。,稀突起膠細胞をニューロンと呼ぶ。,小膠細胞は末梢神経系に存在する。,星状膠細胞は末梢神経系に存在する。,樹状突起は受容した興奮を神経細胞体に伝える。,ランヴィエ〈Ranvier〉の絞輪はシナプス間隙に存在する。,4,,病理組織細胞学,第70回(2024),普通
[A53] 腹水の原因で誤っているのはどれか。,腹膜炎,高蛋白血症,門脈圧亢進症,リンパ管閉塞,うっ血性心不全,2,,病理組織細胞学,第70回(2024),普通
[A54] 細胞死で正しいのはどれか。,壊疽は可逆的である。,乾酪壊死は脳梗塞で起こる。,融解壊死は心筋梗塞で起こる。,凝固壊死は脂質に富んだ臓器に多い。,アポトーシスは発生過程で生理的にみられる。,5,,病理組織細胞学,第70回(2024),普通
[A55] 石灰沈着を伴いやすい腫瘍はどれか。,脂肪腫,髄膜腫,肝細胞癌,子宮頸癌,悪性黒色腫,2,,病理組織細胞学,第70回(2024),普通
[A56] 化膿性炎で多数認められる細胞はどれか。,形質細胞,好酸球,好中球,組織球,リンパ球,3,,病理組織細胞学,第70回(2024),普通
[A57] 内分泌機能を有するのはどれか。,肺,子宮,膵臓,脾臓,膀胱,3,,病理組織細胞学,第70回(2024),普通
[A58] FISH法で正しいのはどれか。2つ選べ。,標本は永久標本となる。,遺伝子増幅の検出に用いる。,染色体転座の検出に用いる。,観察には偏光顕微鏡を用いる。,核はフルオレセインイソチオシアネート〈FITC〉で染色する。,"2,3",,病理組織細胞学,第70回(2024),普通
[A59] 播種性血管内凝固〈DIC〉で上昇するのはどれか。,PIVKA-Ⅱ,D-ダイマー,プロテインC,アンチトロンビン,プラスミンインヒビター,2,,臨床血液学,第70回(2024),普通
[A60] 末梢血の好中球数が増加するのはどれか。,アルコール中毒,伝染性単核球症,アレルギー性鼻炎,急性骨髄性白血病,副腎皮質ステロイド薬投与,5,,臨床血液学,第70回(2024),普通
[A61] アミノ基転移酵素活性を有するのはどれか。,トロンビン,プラスミン,活性化第Ⅹ因子,活性化第ⅩⅢ因子,活性化プロテインC,4,,臨床血液学,第70回(2024),普通
[A62] 赤血球に関する記載で正しいのはどれか。,エリスロポエチンは肝臓で産生される。,前赤芽球は正染性赤芽球よりも大きい。,健常者の赤血球寿命は約80日である。,網赤血球は成熟赤血球よりも小さい。,老化につれて赤血球変形能が高まる。,2,,臨床血液学,第70回(2024),普通
[A63] 骨髄塗抹標本で正しいのはどれか。,正常赤芽球はPAS染色陽性である。,健常成人骨髄像では鉄芽球が認められない。,前骨髄球はペルオキシダーゼ染色陰性である。,健常成人骨髄像ではM/E比は10以上である。,単球のエステラーゼ反応はフッ化ナトリウムによって阻害される。,5,,臨床血液学,第70回(2024),普通
[A64] 自動血球計数器法で赤血球ヒストグラムを別に示す。赤血球125万/µL、Hb 7.5 g/dL、Ht 15％で矢印の所見が認められた。可能性があるのはどれか。【別冊No.11 図】,高血糖,巨大血小板,破砕赤血球,寒冷凝集素症,高ビリルビン血症,4,,臨床血液学,第70回(2024),普通
[A65] シリンジで採血を行い、止血処置の間にしばらく立てて静置した。その状況の写真を別に示す。そのままシリンジを転倒混和せず、複数の血算用の試験管に分注した。最後の試験管に比べて最初の試験管で測定値が大きくなる可能性の最も高いのはどれか。【別冊No.12 図】,単球数,血小板数,好中球数,赤血球数,リンパ球数,4,,臨床血液学,第70回(2024),普通
[A66] 血清に含まれないのはどれか。,アルブミン,γ-グロブリン,ハプトグロビン,フィブリノゲン,トランスフェリン,4,,臨床血液学,第70回(2024),普通
[A67] 造血器腫瘍患者の骨髄血を用いた染色体核型（G分染法）の結果を別に示す。異常が認められた染色体を矢印で示す。想定される遺伝子異常はどれか。【別冊No.13 図】,BCR-ABL1,CBFB-MYH11,ETV6-RUNX1,PML-RARA,RUNX1-RUNX1T1,2,,臨床血液学,第70回(2024),普通
[A68] 厚いペプチドグリカン層を持つのはどれか。,Chlamydia trachomatis,Klebsiella pneumoniae,Mycoplasma pneumoniae,Orientia tsutsugamushi,Staphylococcus aureus,5,,臨床微生物学,第70回(2024),普通
[A69] β-ラクタム系抗菌薬はどれか。2つ選べ。,コリスチン,メロペネム,セフォタキシム,シプロフロキサシン,クロラムフェニコール,"2,3",,臨床微生物学,第70回(2024),普通
[A70] 感染症法で二類感染症に分類されるのはどれか。,結核,コレラ,サル痘〈エムポックス〉,炭疽,ペスト,1,,臨床微生物学,第70回(2024),普通
[A71] TSI培地に細菌を接種して1日後の写真を別に示す。推定されるのはどれか。【別冊No.14 図】,Citrobacter freundii,Enterobacter cloacae,Proteus vulgaris,Salmonella enterica subsp. enterica serovar Typhi,Shigella sonnei,4,,臨床微生物学,第70回(2024),普通
[A72] 急性単純性尿路感染症の原因菌で最も頻度が高く検出されるのはどれか。,Enterococcus faecalis,Escherichia coli,Klebsiella pneumoniae,Proteus mirabilis,Staphylococcus epidermidis,2,,臨床微生物学,第70回(2024),普通
[A73] 蛋白合成阻害作用を有するのはどれか。,ペニシリンG,バンコマイシン,ポリミキシンB,クラリスロマイシン,シプロフロキサシン,4,,臨床微生物学,第70回(2024),普通
[A74] グラム陰性球菌はどれか。,Aeromonas hydrophila,Bacillus anthracis,Corynebacterium diphtheriae,Klebsiella pneumoniae,Moraxella catarrhalis,5,,臨床微生物学,第70回(2024),普通
[A75] バイオセーフティレベル〈BSL〉3対応が必要なのはどれか。,Aspergillus fumigatus,Candida glabrata,Histoplasma capsulatum,Pneumocystis jirovecii,Trichophyton rubrum,3,,臨床微生物学,第70回(2024),普通
[A76] ウイルスと親和性の高い組織・細胞の組合せで正しいのはどれか。,EBウイルス — 単球,ロタウイルス — 腸管,ポリオウイルス — 皮膚,ライノウイルス — 神経,単純ヘルペスウイルス — 気道,2,,臨床微生物学,第70回(2024),普通
[A77] 血液培養陽性ボトルのGram染色所見を別に示す。考えられるのはどれか。【別冊No.15 図】,属,属,属,属,属,2,,臨床微生物学,第70回(2024),普通
[A78] 細菌の遺伝に関する記述で正しいのはどれか。,染色体は核膜内にある。,プラスミドは一本鎖DNAである。,Fプラスミドは薬剤耐性遺伝子である。,Rプラスミドは形質転換によって伝達される。,形質導入とはバクテリオファージを介した現象である。,5,,臨床微生物学,第70回(2024),普通
[A79] B細胞で誤っているのはどれか。,抗原提示細胞である。,体液性免疫に関与する。,抗体産生細胞に分化する。,血中の分布はT細胞より少ない。,コンカナバリンA〈Con A〉で幼若化が起こる。,5,,臨床免疫学,第70回(2024),普通
[A80] 主要組織適合性遺伝子複合体〈MHC〉でクラスⅡ抗原を発現するのはどれか。,血小板,好中球,NK細胞,神経細胞,マクロファージ,5,,臨床免疫学,第70回(2024),普通
[A81] 抗原と抗体の結合で誤っているのはどれか。,共有結合,水素結合,疎水結合,分子間力,イオン結合,1,,臨床免疫学,第70回(2024),普通
[A82] 温度依存性蛋白はどれか。2つ選べ。,ヘモペキシン,ハプトグロビン,パイログロブリン,Bence Jones蛋白,α1-アンチトリプシン,"3,4",,臨床免疫学,第70回(2024),普通
[A83] 冷蔵保存した全血検体で検査可能なのはどれか。,寒冷凝集反応,HBs抗体検査,クリオグロブリン検査,直接抗グロブリン試験,Donath-Landsteiner反応,2,,臨床免疫学,第70回(2024),普通
[A84] 免疫グロブリンで正しいのはどれか。,IgAは4つのCHドメインを持つ。,IgDは胎盤通過性を持つ。,IgEは分子量が最も大きい。,IgGには2つのサブクラスが存在する。,IgMは補体の古典経路を活性化する。,5,,臨床免疫学,第70回(2024),普通
[A85] 補体系の検査結果を以下に示す。〔CH50：低下、C3：基準範囲内、C4：低下、C1q：基準範囲内、C1-INH活性：低下〕考えられるのはどれか。,関節リウマチ,膜性増殖性糸球体腎炎,全身性エリテマトーデス,溶連菌感染後急性糸球体腎炎,遺伝性血管性浮腫〈遺伝性血管神経性浮腫〉,5,,臨床免疫学,第70回(2024),普通
[A86] ABO亜型で正しいのはどれか。,後天性の変化である。,ABO抗原が発現していない。,遺伝子関連検査を必要とする。,日本人ではBm型が最も多い。,体液にABO型物質を分泌しない。,4,,臨床免疫学,第70回(2024),普通
[A87] タイプⅡのクリオグロブリンが高頻度に認められる疾患はどれか。,HIV感染症,HCV感染症,多発性骨髄腫,原発性胆汁性胆管炎,抗リン脂質抗体症候群,2,,臨床免疫学,第70回(2024),普通
[A88] Ⅰ型アレルギーが関与するのはどれか。2つ選べ。,花粉症,関節リウマチ,接触性皮膚炎,アナフィラキシーショック,特発性血小板減少性紫斑病,"1,4",,臨床免疫学,第70回(2024),普通
[A89] Rh血液型で正しいのはどれか。,検査（試験管法）は37 ℃で行う。,日本人におけるRhD陰性頻度は10％である。,RhD陰性の確認は直接抗グロブリン試験で行う。,RhD陰性患者の赤血球輸血にはRhD陽性血を使用する。,日本人において検出される不規則抗体で最も頻度が高いのは抗Eである。,5,,臨床免疫学,第70回(2024),普通
[A90] 令和2（2020）年度傷病分類別医科診療医療費が最も多いのはどれか。,新生物〈腫瘍〉,呼吸器系の疾患,循環器系の疾患,腎尿路生殖器系の疾患,筋骨格系及び結合組織の疾患,3,,公衆衛生学,第70回(2024),普通
[A91] ノーマライゼーションで正しいのはどれか。2つ選べ。,社会的理解の促進,住宅改修費の支給,障害者手帳の交付,心身機能の正常化,ユニバーサルデザインの導入,"1,5",,公衆衛生学,第70回(2024),普通
[A92] 2021年の我が国の統計で正しいのはどれか。,死産数は前年より増加した。,死亡数は前年より減少した。,出生数は100万人を下回る。,自然増減数はプラス値である。,合計特殊出生率は1.5を上回る。,3,,公衆衛生学,第70回(2024),普通
[A93] 環境問題とその原因物質の組合せで正しいのはどれか。,酸性雨 — 微小粒子状物質〈PM2.5〉,大気汚染 — 二酸化炭素,地球温暖化 — ダイオキシン,地下水汚染 — 六価クロム,オゾン層破壊 — 光化学オキシダント,4,,公衆衛生学,第70回(2024),普通
[A94] 産業保健における許容濃度の定義で正しいのはどれか。,事務所内の空気環境を規定する濃度,生物学的モニタリングで許容される生体内濃度,毒性試験で動物に有害な影響が見られない最大投与濃度,労働者に健康上の悪影響が見られないと判断される濃度,作業環境管理の良否を判断する管理区分を決定するための濃度,4,,公衆衛生学,第70回(2024),普通
[A95] ヤング率〈縦弾性率〉が最も大きいのはどれか。,筋（引っ張り）,腱（引っ張り）,大腸（円周方向）,動脈（円周方向）,肺胞（拡張方向）,2,,医用工学概論,第70回(2024),普通
[A96] 図の回路で点Aの電圧はどれか。,2.5 V,3.0 V,5.0 V,6.0 V,7.5 V,3,,医用工学概論,第70回(2024),普通
[A97] 電圧増幅度がそれぞれ4倍、10倍、100倍の増幅器を直列に接続したとき総合した増幅度［dB］はどれか。,24,32,46,66,72,5,,医用工学概論,第70回(2024),普通
[A98] ミクロショック対策を目的としているのはどれか。2つ選べ。,3 Pプラグ,等電位接地,無停電電源,CF形装着部,非接地配線方式,"2,4",,医用工学概論,第70回(2024),普通
[A99] 情報の概念で誤っているのはどれか。,情報の表現は2進数で行われる。,情報量の単位はビットとバイトである。,1バイトは8ビットである。,1キロバイトは1024バイトである。,2バイトでは10万種類以上の文字が扱える。,5,,医用工学概論,第70回(2024),普通
[A100] コンピュータに接続した複数の端末を用いて処理を行うシステムはどれか。2つ選べ。,分散処理,バッチ処理,オンラインシステム,リアルタイムシステム,タイムシェアリングシステム〈TSS〉,"1,5",,医用工学概論,第70回(2024),普通
[B1] 40歳女性。生しらうおの食歴がある。皮膚病変を別に示す。考えられる寄生虫はどれか。【別冊No.1 図】,鞭虫,肝吸虫,顎口虫,東洋毛様線虫,日本海裂頭条虫,3,,臨床検査総論,第70回(2024),普通
[B2] 病原体と染色法の組合せで正しいのはどれか。,マラリア — Kinyoun抗酸染色,赤痢アメーバ — Hematoxylin染色,トキソプラズマ — 墨汁染色,リーシュマニア — Kohn染色,クリプトスポリジウム — Giemsa染色,2,,臨床検査総論,第70回(2024),普通
[B3] 囊虫症をきたすのはどれか。,多包条虫,単包条虫,無鉤条虫,有鉤条虫,日本海裂頭条虫,4,,臨床検査総論,第70回(2024),普通
[B4] パニック値で誤っているのはどれか。,基準は施設ごとに異なる。,生理機能検査が含まれる。,対応不可能な値のことである。,生命に危険がある値のことである。,報告方法はあらかじめ取り決めをしておく。,3,,臨床検査総論,第70回(2024),普通
[B5] 病院内において不適切な行為はどれか。,診療放射線技師が腹部超音波検査を行った。,倫理委員会の承認を受けた研究に残余検体を使用した。,採血を行った際、患者の氏名に加えて生年月日を尋ねた。,ベッドサイド検査の際、患者確認のために患者情報をプリントアウトして持参した。,医師の電話指示により、臨床検査技師が医師名で電子カルテを開いて検査オーダーを入力した。,5,,臨床検査総論,第70回(2024),普通
[B6] 尿試験紙による尿蛋白検査で正しいのはどれか。,感度は50-100 mg/dLである。,アスコルビン酸の影響を受ける。,強アルカリ尿では偽陽性となる。,蛋白の種類で反応性に差異はない。,感度はスルホサリチル酸法より高い。,3,,臨床検査総論,第70回(2024),普通
[B7] 結核性髄膜炎でみられる脳脊髄液所見はどれか。,膿性,Cl濃度低下,蛋白細胞解離,血糖と同程度の糖濃度,好酸球優位の細胞増多,2,,臨床検査総論,第70回(2024),普通
[B8] PCR法で正しいのはどれか。,Tm値が低いと特異性が高くなる。,プライマー濃度は10 μM以上にする。,増幅しにくい場合にはアニーリング温度を上げる。,プライマーの塩基配列はGC含有量を20％前後にする。,アニーリング温度はプライマーのTm値以下に設定する。,5,,臨床検査総論,第70回(2024),普通
[B9] 染色体で正しいのはどれか。,ヒト体細胞の染色体数は23である。,染色体の両端部は動原体蛋白に覆われている。,染色体中心部のくびれたDNA領域をテロメアという。,ヌクレオソームはDNA鎖とヒストン8量体から成る。,1本の染色体から複製された染色体を相同染色体と呼ぶ。,4,,臨床検査総論,第70回(2024),普通
[B10] 尿沈渣の無染色標本を別に示す。矢印で示した結晶はどれか。【別冊No.2 図】,尿酸,シスチン,ビリルビン,コレステロール,リン酸アンモニウムマグネシウム,5,,臨床検査総論,第70回(2024),普通
[B11] 一次救命処置〈basic life support：BLS〉に含まれないのはどれか。,気道確保,胸骨圧迫心マッサージ,自動体外式除細動器〈AED〉の使用,静脈路確保,人工呼吸,4,,臨床検査医学総論,第70回(2024),普通
[B12] 慢性腎不全で上昇するのはどれか。,血清尿酸,血清総蛋白,糸球体濾過量,血清エリスロポエチン,血清活性型ビタミンD3,1,,臨床検査医学総論,第70回(2024),普通
[B13] 診断の根拠になる自己抗体と疾患の組合せはどれか。,抗平滑筋抗体 — リウマチ熱,抗ミトコンドリア抗体 — 強皮症,抗CCP抗体 — Behçet病,抗RNP抗体 — 混合性結合組織病〈MCTD〉,抗TSH受容体抗体 — Sjögren症候群,4,,臨床検査医学総論,第70回(2024),普通
[B14] 急性心筋梗塞発症時に血中濃度が上昇しないのはどれか。,ALP,CK-MB,LD,心筋トロポニンT,心臓型脂肪酸結合蛋白〈H-FABP〉,1,,臨床検査医学総論,第70回(2024),普通
[B15] プリオン病はどれか。,Alzheimer病,Creutzfeldt-Jakob病,Guillain-Barré症候群,Parkinson病,進行性筋ジストロフィ,2,,臨床検査医学総論,第70回(2024),普通
[B16] 標準12誘導心電図を別に示す。考えられるのはどれか。【別冊No.3 図】,高K血症,高Ca血症,高Na血症,低K血症,低Ca血症,4,,臨床生理学,第70回(2024),普通
[B17] トレッドミル負荷試験で正しいのはどれか。,未治療の不安定狭心症は検査の適応である。,目標心拍数を性別、身長と体重から求める。,電極は安静12誘導心電図と同じ部位に付ける。,患者が下肢の疲労で運動の中止を希望したら中止する。,運動中止時、心電図記録を終了する。,4,,臨床生理学,第70回(2024),普通
[B18] 健康成人の大気からミトコンドリアまでの酸素カスケードを別に示す。肺胞気−動脈血酸素分圧較差はどれか。【別冊No.4 図】,①,②,③,④,⑤,2,,臨床生理学,第70回(2024),普通
[B19] クロージングボリューム〈CV〉測定における単一呼出曲線で正しいのはどれか。,第Ⅰ相のN2濃度は約80％である。,第Ⅱ相は肺胞のみから呼出されるガスによる。,第Ⅲ相で認められる振動は計測用の管の共振によって発生する。,第Ⅳ相の傾きは第Ⅲ相の傾きよりも大きい。,第Ⅳ相はCV位から安静呼気位までに相当する。,4,,臨床生理学,第70回(2024),普通
[B20] 二酸化炭素排出量が一定のとき動脈血二酸化炭素分圧と反比例の関係にあるのはどれか。,一回換気量,最大換気量,死腔換気量,肺胞換気量,分時換気量,4,,臨床生理学,第70回(2024),普通
