設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A23] 64歳の男性。家族に｢最近ぼーっとしていることが多い｣と指摘され受診した。脳波を別に示す。所見はどれか。【別冊No.6 図】,棘波,三相波,多棘徐波複合,14 Hz陽性棘波,周期性同期性放電,1,,臨床生理学,第68回(2022),普通
[A24] 睡眠ステージ1から睡眠ステージ2に移行したと判断できる脳波の波形はどれか。,α波,紡錘波,低振幅速波,丘波0徐波2,瘤波0頭頂鋭波2,2,,臨床生理学,第68回(2022),普通
[A25] 心臓超音波像を別に示す。矢印で示すアーチファクトの原因はどれか。【別冊No.7 図】,音響陰影,鏡面現象,多重反射,レンズ効果,サイドローブ,5,,臨床生理学,第68回(2022),普通
[A26] 心臓超音波像を別に示す。この像を描出する際の探触子の位置はどれか。【別冊No.8 図】,心窩部,心尖部,傍胸骨,右胸壁,胸骨上窩,3,,臨床生理学,第68回(2022),普通
[A27] 深部静脈血栓症に対する下肢静脈超音波検査で実施しないのはどれか。,座位,圧迫法,寒冷負荷,ミルキング法,Valsalva法0呼吸法2,3,,臨床生理学,第68回(2022),普通
[A28] サーモグラフィ検査の注意点について誤っているのはどれか。,検査直前の飲食を制限する。,測定部位の化粧を落とさせる。,検査室の湿度は50％程度に保つ。,検査室の温度は20 ℃程度に保つ。,15〜30分間の検査室環境への馴化を行う。,4,,臨床生理学,第68回(2022),普通
[A29] 糖新生を行う臓器はどれか。2つ選べ。,脳,肝臓,心臓,腎臓,脾臓,"2,4",,臨床化学,第68回(2022),普通
[A30] 糖尿病の診断で糖尿病型の判定に用いられないのはどれか。,HbA1c,随時血糖値,空腹時血糖値,グリコアルブミン,75 g経口ブドウ糖負荷後2時間血糖値,4,,臨床化学,第68回(2022),普通
[A31] ケトン体はどれか。2つ選べ。,胆汁酸,アセトン,アラキドン酸,トロンボキサン,3-ヒドロキシ酪酸,"2,5",,臨床化学,第68回(2022),普通
[A32] 代謝系と調節酵素の組合せで正しいのはどれか。,解糖系 — ホスホエノールピルビン酸カルボキシラーゼ,糖新生 — アセチルCoAカルボキシラーゼ,脂肪酸合成 — ピルビン酸デヒドロゲナーゼ複合体,クエン酸回路 — ヘキソキナーゼ,コレステロール合成 — 3-ヒドロキシ-3-メチルグルタリル（HMG）CoA還元酵素,5,,臨床化学,第68回(2022),普通
[A33] ビリルビン代謝について正しいのはどれか。,ウロビリンは腸肝循環する。,直接ビリルビンは還元されウロビリノゲンになる。,間接ビリルビンは腸内細菌により加水分解される。,δビリルビンは間接ビリルビンにアルブミンが結合している。,ヘムのポルフィリン環はヘムオキシゲナーゼによって開環される。,5,,臨床化学,第68回(2022),普通
[A34] 酵素法によるカルシウム測定に用いられるのはどれか。2つ選べ。,α⁻アミラーゼ,ヘキソキナーゼ,ガラクトシダーゼ,ホスホリパーゼD,ピルビン酸キナーゼ,"1,4",,臨床化学,第68回(2022),普通
[A35] 体内の鉄代謝について正しいのはどれか。,健常人の総鉄量は約10 gである。,鉄の1/3はヘモグロビンに含まれる。,鉄はフェリチンと結合し貯蔵される。,トランスフェリンは日内変動がある。,ミオグロビンは1個の鉄分子を含む。,3,,臨床化学,第68回(2022),普通
[A36] 芳香族アミノ酸はどれか。,リジン,アラニン,チロシン,システイン,イソロイシン,3,,臨床化学,第68回(2022),普通
[A37] 尿素回路について正しいのはどれか。,腎臓に存在する。,ATPを産生する。,アンモニアを無毒化する。,ピルビン酸を必要とする。,律速酵素はアルギナーゼである。,3,,臨床化学,第68回(2022),普通
[A38] 生化学自動分析装置の検出部に後分光方式を用いることで可能となるのはどれか。,二波長法での測定,終点分析法での測定,速度分析法での測定,紫外部吸収法での測定,2ポイント法での測定,1,,臨床化学,第68回(2022),普通
[A39] 血清ナトリウムイオンの測定に使用される電極はどれか。2つ選べ。,酵素電極,ガラス電極,バリノマイシン電極,クラウンエーテル電極,第4級アンモニウム塩電極,"2,4",,臨床化学,第68回(2022),普通
[A40] 血清中の総コレステロール値が225 mg/dL、HDL-コレステロール値が45 mg/dL、トリグリセライド値が250 mg/dLであった。Friedewald式によるLDL-コレステロール値はどれか。,55 mg/dL,97 mg/dL,130 mg/dL,155 mg/dL,180 mg/dL,3,,臨床化学,第68回(2022),普通
[A41] DNAを含む細胞内小器官はどれか。,小胞体,ゴルジ体,リボソーム,ミトコンドリア,ペルオキシソーム,4,,臨床化学,第68回(2022),普通
[A42] 肝合成能の評価に用いられるのはどれか。,ICG試験,血清ALT値,血清ビリルビン値,血中アンモニア値,プロトロンビン時間,5,,臨床化学,第68回(2022),普通
[A43] 消化管から分泌されないのはどれか。,ガストリン,セクレチン,インクレチン,カルシトニン,コレシストキニン,4,,臨床化学,第68回(2022),普通
[A44] Michaelis定数（Km）について正しいのはどれか。,測定pHの変化に影響されない。,アイソザイム間では差異がない。,大きいほど酵素と基質の親和性が高い。,競合阻害物質の存在下では大きくなる。,最大反応速度（Vmax）の半分の速度である。,4,,臨床化学,第68回(2022),普通
[A45] 褐色萎縮で沈着するのはどれか。,脂肪,メラニン,アミロイド,グリコーゲン,リポフスチン,5,,病理組織細胞学,第68回(2022),普通
[A46] 術中迅速診断における標本作製で使用するのはどれか。,固定液,スクロース,パラフィン,水溶性封入剤,ユング型ミクロトーム,1,,病理組織細胞学,第68回(2022),普通
[A47] 腎組織の未固定凍結切片を用いた免疫組織化学染色を別に示す。この染色法について正しいのはどれか。【別冊No.9 図】,加熱処理を行う。,発色反応操作を行う。,偏光顕微鏡で観察する。,内因性ペルオキシダーゼをブロックする。,フルオレセインイソチオシアネート（FITC）標識抗体を使用する。,5,,病理組織細胞学,第68回(2022),普通
[A48] 電子顕微鏡標本作製で透過型と走査型に共通するのはどれか。,二重固定,樹脂包埋,超薄切,酢酸ウラン染色,金属イオン蒸着,1,,病理組織細胞学,第68回(2022),普通
[A49] 後腹膜臓器はどれか。2つ選べ。,胃,肝臓,膵臓,腎臓,子宮体部,"3,4",,病理組織細胞学,第68回(2022),普通
[A50] ヒトの生殖細胞の分裂について誤っているのはどれか。,精子・卵子を作るために2回の分裂が必要である。,第一分裂の開始時にDNAを複製する。,第一分裂では染色体の一部に組換えが生じる。,1個の卵母細胞から4個の卵子が生じる。,生じた精子・卵子は23本の染色体を含む。,"2,4",,病理組織細胞学,第68回(2022),普通
[A51] アポトーシスについて正しいのはどれか。2つ選べ。,細胞膜の破裂を伴う。,ATPを必要としない。,クロマチンが濃縮する。,高度の炎症を惹起する。,DNAはヌクレオソーム単位で切断される。,"3,5",,病理組織細胞学,第68回(2022),普通
[A52] 病理組織学的検査で推奨される固定液はどれか。,10％中性ホルマリン液,10％等張ホルマリン液,10％中性緩衝ホルマリン液,2％グルタルアルデヒド液,4％パラホルムアルデヒド液,3,,病理組織細胞学,第68回(2022),普通
[A53] 中皮に覆われている腔はどれか。2つ選べ。,関節腔,胸腔,心膜腔,肺胞腔,鼻腔,"2,3",,病理組織細胞学,第68回(2022),普通
[A54] 虚血性心疾患はどれか。2つ選べ。,狭心症,心筋梗塞,心内膜炎,肥大型心筋症,心室中隔欠損症,"1,2",,病理組織細胞学,第68回(2022),普通
[A55] T細胞性リンパ腫はどれか。,菌状息肉腫,濾胞性リンパ腫,Burkittリンパ腫,Hodgkinリンパ腫,マントル細胞リンパ腫,1,,病理組織細胞学,第68回(2022),普通
[A56] 膠原線維の染色に用いられる染色法はどれか。2つ選べ。,PAS反応,azan染色,Feulgen反応,mucicarmine染色,Masson trichrome染色,"2,5",,病理組織細胞学,第68回(2022),普通
[A57] 病理解剖の感染対策で誤っているのはどれか。,陽圧式空調,エプロンの着用,使用器具の滅菌,入室前の手袋着用,感染症の既往の確認,1,,病理組織細胞学,第68回(2022),普通
[A58] 子宮頸部擦過細胞診検査のPapanicolaou染色標本を別に示す。この細胞に関連の深い病原体はどれか。【別冊No.10 図】,カンジダ,ガードネレラ菌,トリコモナス原虫,単純ヘルペスウイルス,ヒトパピローマウイルス,5,,病理組織細胞学,第68回(2022),普通
[A59] 末梢血で過分葉核好中球がみられる場合に検査すべき項目はどれか。,鉄,鉛,葉酸,フェリチン,エリスロポエチン,3,,臨床血液学,第68回(2022),普通
[A60] 疾患と診断に用いる細胞表面マーカーとの組合せで誤っているのはどれか。,多発性骨髄腫 — CD38,急性骨髄性白血病 — CD33,急性リンパ性白血病 — CD10,慢性リンパ性白血病 — CD3,成人T細胞白血病リンパ腫 — CD25,4,,臨床血液学,第68回(2022),普通
[A61] クロスミキシング試験の結果を別に示す。考えられるのはどれか。【別冊No.11 図】,肝不全,後天性血友病A,ワルファリン服用,von Willebrand病,播種性血管内凝固（DIC）,2,,臨床血液学,第68回(2022),普通
[A62] Bリンパ球で正しいのはどれか。2つ選べ。,胸腺で成熟する。,CD 13を発現する。,IL-6が機能を抑制する。,抗体産生細胞に分化する。,健常成人の末梢血ではTリンパ球よりも少ない。,"4,5",,臨床血液学,第68回(2022),普通
[A63] 血管拡張作用をもつのはどれか。,セロトニン,エピネフリン,トロンボキサンA2,プロスタサイクリン,アデノシン二リン酸（ADP）,4,,臨床血液学,第68回(2022),普通
[A64] 末梢血のMay-Giemsa染色標本及びペルオキシダーゼ染色標本を別に示す。考えられるのはどれか。【別冊No.12A・B 図】,伝染性単核球症,急性骨髄性白血病,成人T細胞白血病,慢性リンパ性白血病,原発性マクログロブリン血症,2,,臨床血液学,第68回(2022),普通
[A65] 健常者の末梢血のニューメチレンブルー染色標本を別に示す。矢印が示す細胞について正しいのはどれか。【別冊No.13 図】,赤血球造血の指標となる。,鉄欠乏性貧血で増加する。,採血後放置すると増加する。,青色の物質はヘモグロビンの変性物である。,"健常者の末梢血中に3,000〜10,000/μL存在する。",1,,臨床血液学,第68回(2022),普通
[A66] 活性化プロテインCが失活させるのはどれか。2つ選べ。,第Ⅴ因子,第Ⅶ因子,第Ⅷ因子,第Ⅸ因子,第Ⅹ因子,"1,3",,臨床血液学,第68回(2022),普通
[A67] 55歳の男性。リンパ節腫大と肝腫大のほか、高カルシウム血症と血清LD高値を認める。末梢血のMay-Giemsa染色標本を別に示す。この疾患に関係があるのはどれか。【別冊No.14 図】,BCR-ABL1,PML-RARA,EBウイルス,HTLV-1ウイルス,Reed-Sternberg細胞,4,,臨床血液学,第68回(2022),普通
[A68] 鞭毛を有するのはどれか。,Acinetobacter baumannii,Clostridium perfringens,Klebsiella pneumoniae,Shigella sonnei,Vibrio parahaemolyticus,5,,臨床微生物学,第68回(2022),普通
[A69] 染色法と染色液の組合せで正しいのはどれか。,Hiss法 — マラカイト緑液,Wirtz法 — 石炭酸フクシン液,Gram染色 — パイフェル液,Giménez染色 — ゲンチアナ紫液,Ziehl-Neelsen染色 — サフラニン液,3,,臨床微生物学,第68回(2022),普通
[A70] β-ラクタム系抗菌薬でないのはどれか。,メロペネム,セファゾリン,ピペラシリン,セフォタキシム,レボフロキサシン,5,,臨床微生物学,第68回(2022),普通
[A71] 感染経路が空気感染である病原体はどれか。2つ選べ。,Measles virus*麻疹ウイルス-,Mycobacterium tuberculosis,Mycoplasma pneumoniae,Neisseria meningitidis,Rubella virus*風疹ウイルス-,"1,2",,臨床微生物学,第68回(2022),普通
[A72] 微生物の分類について正しいのはどれか。2つ選べ。,原虫は真核生物である。,細菌は真核生物である。,真菌は原核生物である。,リケッチアは真核生物である。,ウイルスは原核生物、真核生物のどちらにも分類されない。,"1,5",,臨床微生物学,第68回(2022),普通
[A73] 新生児髄膜炎が疑われた患児の髄液のGram染色標本を別に示す。最も考えられる菌種はどれか。【別冊No.15 図】,Escherichia coli,Listeria monocytogenes,Neisseria gonorrhoeae,Pseudomonas aeruginosa,Streptococcus agalactiae,1,,臨床微生物学,第68回(2022),普通
[A74] 喀痰のGram染色標本を別に示す。顕微鏡による観察で、図中の細胞Aを48個/100倍1視野、細胞Bを5個/100倍1視野認めた。該当するGeckler分類はどれか。【別冊No.16 図】,Geckler1群,Geckler2群,Geckler3群,Geckler4群,Geckler5群,1,,臨床微生物学,第68回(2022),普通
[A75] Bacteroides fragilisについて正しいのはどれか。,黒色色素を産生する。,インドール陽性である。,カタラーゼ陰性である。,エスクリンを加水分解する。,アミノグリコシド系抗菌薬に感性を示す。,4,,臨床微生物学,第68回(2022),普通
[A76] 選択分離培地と目的菌の組合せで正しいのはどれか。,CIN寒天培地 — Yersinia属,DHL寒天培地 — Campylobacter属,NAC寒天培地 — Shigella属,Skirrow寒天培地 — Legionella属,WYOα寒天培地 — Pseudomonas属,1,,臨床微生物学,第68回(2022),普通
[A77] 腸管感染を起こすのはどれか。2つ選べ。,ウエストナイルウイルス,エンテロウイルス,デングウイルス,ノロウイルス,EBウイルス,"2,4",,臨床微生物学,第68回(2022),普通
[A78] IPA反応陽性を示すのはどれか。,Citrobacter freundii,Escherichia coli,Klebsiella oxytoca,Morganella morganii,Serratia marcescens,4,,臨床微生物学,第68回(2022),普通
[A79] IgEについて正しいのはどれか。,J鎖を持つ。,補体を活性化する。,2つのサブクラスがある。,"分子量は約900,000である。",H鎖の定常部ドメインは4個からなる。,5,,臨床免疫学,第68回(2022),普通
[A80] 補体のC1成分について正しいのはどれか。,易熱性成分である。,走化性因子として働く。,別経路の活性化に関与する。,活性化にはMg2+が必要である。,補体成分の中で血清中の濃度が最も高い。,1,,臨床免疫学,第68回(2022),普通
[A81] 血清中にMタンパクが認められる疾患はどれか。,慢性肝炎,Basedow病,骨髄異形成症候群,原発性マクログロブリン血症,全身性エリテマトーデス（SLE）,4,,臨床免疫学,第68回(2022),普通
[A82] 免疫担当細胞について正しいのはどれか。,好塩基球は貪食能を持つ。,NK細胞はIFN-γを産生する。,好中球は遅延型過敏反応に関与する。,Th2細胞は主に細胞性免疫に関与する。,CD4陽性T細胞はMHCクラスⅡを発現する。,2,,臨床免疫学,第68回(2022),普通
[A83] CRP産生に関与するサイトカインはどれか。,IFN-γ,IL-4,IL-6,IL-18,TGF-β,3,,臨床免疫学,第68回(2022),普通
[A84] 臨床的意義のある不規則抗体はどれか。,抗C,抗Leb,抗N,抗P1,抗Xga,1,,臨床免疫学,第68回(2022),普通
[A85] 交差適合試験の主試験が陽性になる可能性が高いのはどれか。,患者がA型、提供者がO型,患者がAB型、提供者がO型,患者が直接抗グロブリン試験陽性,提供者が直接抗グロブリン試験陽性,患者がRhD陽性、提供者がRhD陰性,4,,臨床免疫学,第68回(2022),普通
[A86] カラム凝集法の反応像を別に示す。正しいのはどれか。【別冊No.17 図】,A型 RhD陽性,O型 RhD陽性,O型 RhD陰性,AB型RhD陰性,AB型RhD陽性,5,,臨床免疫学,第68回(2022),普通
[A87] CH50が高値を示す疾患はどれか。,肝硬変,悪性腫瘍,血管神経性浮腫,全身性エリテマトーデス（SLE）,膜性増殖性糸球体腎炎（MPGN）,2,,臨床免疫学,第68回(2022),普通
[A88] 輸血用血液製剤について誤っているのはどれか。,濃厚血小板は振盪しながら保存する。,赤血球液の保存温度は2〜1℃である。,濃厚血小板の有効期限は採血後2日間である。,新鮮凍結血漿の有効期限は採血後1年間である。,洗浄赤血球液の有効期限は製造後48時間である。,3,,臨床免疫学,第68回(2022),普通
[A89] 輸血副反応と原因の組合せで正しいのはどれか。,C型肝炎 — 輸血用血液製剤中のリンパ球,血管内溶血 — 輸血用血液製剤の補体,輸血後GVHD — 不規則抗体,輸血関連循環過負荷（TACO） — 抗内皮細胞抗体,輸血関連急性肺障害（TRALI） — 抗白血球抗体,5,,臨床免疫学,第68回(2022),普通
[A90] 院内の医療安全を確保するための措置に含まれないのはどれか。,ヒヤリ・ハット事例を収集する。,安全管理のための職員研修を行う。,医療過誤を起こした職員を処罰する。,検査実施時に患者名の確認を遵守させる。,医療事故発生時に原因解明のための調査を行う。,3,,公衆衛生学,第68回(2022),普通
[A91] 健康増進法に基づくがん検診で対象年齢が50歳以上であるのはどれか。,胃がん,肺がん,乳がん,大腸がん,子宮頸がん,1,,公衆衛生学,第68回(2022),普通
[A92] 2019年の我が国の人口動態統計で10年前と比較して上昇しているのはどれか。,出生率,粗死亡率,自然増減率,乳児死亡率,年齢調整死亡率,2,,公衆衛生学,第68回(2022),普通
[A93] 就学時健康診断に含まれないのはどれか。,聴診,色覚検査,知能検査,歯および口腔検査,胸部エックス線撮影,"2,5",,公衆衛生学,第68回(2022),普通
[A94] 業務上疾病の原因で最も多いのはどれか。,負傷,病原体,化学物質,作業態様,物理的因子,1,,公衆衛生学,第68回(2022),普通
[A95] 超音波の伝搬速度が最も速いのはどれか。,水,肝臓,空気,脂肪,頭蓋骨,5,,医用工学概論,第68回(2022),普通
[A96] 電圧利得が20倍の増幅器を3つ直列につないだ増幅器の利得［dB］はどれか。ただし、log2 ≒ 0.3とする。,46,66,78,96,124,3,,医用工学概論,第68回(2022),普通
[A97] アナログ信号をデジタル信号へ変換するとき、サンプル値の最大値と最小値の間を一定の幅で分割することを示すのはどれか。,正規化,標準化,標本化,量子化,コード化,4,,医用工学概論,第68回(2022),普通
[A98] 医療情報システムで臨床検査項目分類コードとして用いられるのはどれか。,DICOM,HL7,ICD 11,JLAC,PACS,4,,医用工学概論,第68回(2022),普通
[A99] 波長220 nmの光の分類はどれか。,紫外線A,紫外線B,紫外線C,赤外線A,赤外線B,3,,医用工学概論,第68回(2022),普通
"[A100] 200 mL、20 ℃の水を700 Wの電子レンジで1分間加熱した。加えられたエネルギーがすべて水の加熱に使われたとき、水のおよその温度［℃］はどれか。ただし、水の比熱は4,200 J/0kg・℃2とする。",40,50,60,70,80,4,,医用工学概論,第68回(2022),普通
[B1] 内部精度管理法で管理血清を用いるのはどれか。2つ選べ。,｜R/X̄｜管理法,X̄-R管理図法,項目間チェック法,デルタチェック法,マルチルール管理図法,"2,5",,臨床検査総論,第68回(2022),普通
[B2] 標準予防策において感染性を考慮しない体液・分泌物はどれか。,汗,尿,髄液,精液,唾液,1,,臨床検査総論,第68回(2022),普通
[B3] 尿沈渣の無染色標本及びSternheimer染色標本を別に示す。矢印が示す構造物はどれか。【別冊No.1A・B 図】,顆粒円柱,脂肪円柱,硝子円柱,上皮円柱,赤血球円柱,1,,臨床検査総論,第68回(2022),普通
[B4] 便潜血の免疫学的検査法で正しいのはどれか。2つ選べ。,便中の鉄を検出する。,食事制限が必要である。,化学的検査法より検出感度は低い。,便の表面をこするように採取する。,上部より下部の消化管出血の検査に適している。,"4,5",,臨床検査総論,第68回(2022),普通
[B5] 関節液の異常所見はどれか。,淡黄色透明,比重1.010,細胞数50/μL,好中球比率10％,蛋白濃度3.5 g/dL,5,,臨床検査総論,第68回(2022),普通
[B6] 中間宿主を有するのはどれか。,回虫,蟯虫,鉤虫,鞭虫,糸状虫,5,,臨床検査総論,第68回(2022),普通
[B7] 致死率が最も高いのはどれか。,サルマラリア,卵形マラリア,熱帯熱マラリア,三日熱マラリア,四日熱マラリア,3,,臨床検査総論,第68回(2022),普通
[B8] 染色体分染法でグアニン0G2-シトシン0C2塩基対優位部が濃染するのはどれか。,Cバンド分染法,Gバンド分染法,Qバンド分染法,Rバンド分染法,NOR分染法,4,,臨床検査総論,第68回(2022),普通
[B9] アミノ酸を結合してリボソームに運搬する働きをするのはどれか。,mRNA,rRNA,tRNA,hnRNA,snRNA,3,,臨床検査総論,第68回(2022),普通
[B10] PCR法において核酸増幅産物の特異性を高める方法として正しいのはどれか。,サイクル数を増やす。,プライマー濃度を下げる。,アニーリング温度を下げる。,マグネシウム濃度を上げる。,DNAポリメラーゼ濃度を上げる。,2,,臨床検査総論,第68回(2022),普通
[B11] 末-神経障害を呈するのはどれか。,Alzheimer病,Creutzfeldt-Jakob病,Guillain-Barré症候群,Parkinson病,Wilson病,3,,臨床検査医学総論,第68回(2022),普通
[B12] 染色体検査が診断に有用なのはどれか。,血友病A,サラセミア,Gaucher病,Turner症候群,フェニルケトン尿症,4,,臨床検査医学総論,第68回(2022),普通
[B13] ROC曲線の縦軸と横軸の組合せで正しいのはどれか。縦軸横軸,感度 — 特異度,特異度 — 感度,感度 — 偽陽性率,偽陽性率 — 感度,偽陽性率 — 特異度,3,,臨床検査医学総論,第68回(2022),普通
[B14] 関節リウマチの診断に用いられるのはどれか。,抗CCP抗体,抗GAD抗体,抗SS-A抗体,抗サイログロブリン抗体,抗アセチルコリン受容体抗体,1,,臨床検査医学総論,第68回(2022),普通
[B15] 分子標的薬投与の決定にERBB2（HER2）増幅の検索を行うのはどれか。,乳癌,卵巣癌,子宮頸癌,子宮体癌,前立腺癌,1,,臨床検査医学総論,第68回(2022),普通
[B16] 心周期現象の圧曲線模式図を別に示す。大動脈圧曲線はどれか。【別冊No.2 図】,①,②,③,④,⑤,1,,臨床生理学,第68回(2022),普通
[B17] 四肢誘導心電図を別に示す。正しいのはどれか。【別冊No.3 図】,右脚ブロック,房室ブロック,WPW症候群,ペーシングリズム,不随意運動によるアーチファクト,4,,臨床生理学,第68回(2022),普通
[B18] ホルター心電図検査で正しいのはどれか。2つ選べ。,単極誘導が用いられる。,ST変化は検出できない。,記録中の行動記録は解析に必要である。,NASA誘導はP波の検出に優れている。,CM5誘導の波形は胸部誘導のV1に類似する。,"3,4",,臨床生理学,第68回(2022),普通
[B19] 最大呼気曲線を別に示す。考えられるのはどれか。【別冊No.4 図】,間質性肺炎,胸椎後側弯症,慢性閉塞性肺疾患,筋萎縮性側索硬化症,睡眠時無呼吸症候群,3,,臨床生理学,第68回(2022),普通
[B20] 動脈血ガス分析の所見を示す。pH 7.36 PaO2 58 Torr PaCO2 56 Torr HCO3⁻ 31 mEq/L誤っているのはどれか。,呼吸不全である。,腎性代償である。,アシデミアである。,肺胞低換気である。,呼吸性アシドーシスである。,3,,臨床生理学,第68回(2022),普通
[B21] 神経線維における活動電位とその伝導について誤っているのはどれか。,温度が低いと伝導は遅くなる。,軸索の直径が太いほど伝導は速い。,活動電位の大きさは減衰せずに伝導する。,中間部で発生した活動電位は両方向に伝導する。,刺激の強さに比例して発生する活動電位が大きくなる。,5,,臨床生理学,第68回(2022),普通
[B22] 誘発電位を別に示す。この記録はどれか。【別冊No.5 図】,視覚誘発電位,事象関連電位,聴性定常反応,聴性脳幹反応,体性感覚誘発電位,4,,臨床生理学,第68回(2022),普通
[B23] 針筋電図検査において急性脱神経でみられるのはどれか。,急速動員,陽性鋭波,高振幅電位,多相性電位,ミオトニー放電,2,,臨床生理学,第68回(2022),普通
[B24] 心臓超音波カラードプラ法の四腔像を別に示す。疾患はどれか。【別冊No.6 図】,Fallot四徴症,大血管転位症,動脈管開存症,心室中隔欠損症,心房中隔欠損症,5,,臨床生理学,第68回(2022),普通
[B25] 上腹部超音波像を別に示す。走査法はどれか。【別冊No.7 図】,右肋間走査,心窩部横走査,心窩部縦走査,右季肋部斜走査,右肋骨弓下走査,2,,臨床生理学,第68回(2022),普通
[B26] 下腹部正中横走査による女性の骨盤腔の超音波像を別に示す。矢印で示すのはどれか。【別冊No.8 図】,腟,子宮,直腸,膀胱,卵巣,2,,臨床生理学,第68回(2022),普通
[B27] 医療用MRIについて誤っているのはどれか。,任意の断面を画像化できる。,炭素の磁気共鳴信号を画像化する。,拡散強調画像は急性期の脳梗塞検出能に優れる。,頭部では造影剤を用いずに血管の撮影ができる。,拡散テンソル画像は神経線維の走行を描出できる。,2,,臨床生理学,第68回(2022),普通
[B28] 眼底写真を別に示す。矢印で示すのはどれか。【別冊No.9 図】,黄斑,白斑,水晶体,中心窩,視神経乳頭,5,,臨床生理学,第68回(2022),普通
